iter	Logloss
262	0.2411752208
263	0.2411035342
264	0.2410152925
265	0.2409887361
266	0.2409579466
267	0.2408875166
268	0.2407988164
269	0.2407646354
270	0.2406527614
271	0.2405029102
272	0.2403758491
273	0.2403184442
274	0.2402192524
275	0.2401746146
276	0.2400473709
277	0.2399929091
278	0.239886792
279	0.2396991789
280	0.2396520831
281	0.2396204751
282	0.239590302
283	0.2395606114
284	0.2395009997
285	0.2394153896
286	0.2392671226
287	0.239151792
288	0.2389864572
289	0.2389070683
290	0.2388274967
291	0.2387864023
292	0.2387113667
293	0.2386002376
294	0.2385162688
295	0.2384021571
296	0.2383642027
297	0.2382426594
298	0.2381633092
299	0.2381080437
300	0.2380025851
301	0.2379337372
302	0.2379070037
303	0.2378339545
304	0.2377649383
305	0.2376829252
306	0.2375633491
307	0.2375103732
308	0.2374456539
309	0.2373737178
310	0.2372578961
311	0.2371829182
312	0.236601121
313	0.2365579854
314	0.236530919
315	0.2364397442
316	0.2363756861
317	0.2363147853
318	0.23623057
319	0.2361502593
320	0.2360218583
321	0.2359696623
322	0.2358693683
323	0.2358110285
324	0.235745447
325	0.2356637235
326	0.2356328304
327	0.2356070574
328	0.2352571971
329	0.235141072
330	0.2350896697
331	0.2349910485
332	0.2349253242
333	0.2348820767
334	0.2347894101
335	0.2347320988
336	0.2346614295
337	0.2346083693
338	0.2345650729
339	0.234483544
340	0.2343889059
341	0.234278433
342	0.2342147512
343	0.2341207491
344	0.234086837
345	0.2331357054
346	0.233054543
347	0.2330155182
348	0.2329169423
349	0.2327703965
350	0.2327108648
351	0.2326642936
352	0.2325770443
353	0.2325040015
354	0.2323871941
355	0.2323272941
356	0.2323055562
357	0.2322344462
358	0.2321622814
359	0.2321212503
360	0.2320790456
361	0.2319863654
362	0.2319235535
363	0.2317666719
364	0.2316999174
365	0.2316497552
366	0.2315439185
367	0.2314964624
368	0.2314514957
369	0.231419117
370	0.2313447463
371	0.2312569449
372	0.2311976433
373	0.2311367219
374	0.2310356892
375	0.2309656245
376	0.2308778928
377	0.2305605977
378	0.2305087797
379	0.2303968853
380	0.2302718981
381	0.2302342774
382	0.2301201135
383	0.2299627687
384	0.2299110114
385	0.2298193717
386	0.229775545
387	0.2297102351
388	0.2296233409
389	0.2294641166
390	0.2294183332
391	0.2293381227
392	0.2292824813
393	0.2292719952
394	0.2292175021
395	0.2291836935
396	0.2290870824
397	0.2290161092
398	0.2290019464
399	0.2289352202
400	0.2288264172
401	0.2287776953
402	0.2286657472
403	0.2286474103
404	0.2285998092
405	0.2285672552
406	0.2285529989
407	0.2284947327
408	0.2284919196
409	0.2284252677
410	0.2283984949
411	0.2283479667
412	0.2282614447
413	0.228216631
414	0.227905346
415	0.2278406407
416	0.2277973958
417	0.2277607518
418	0.2276745857
419	0.2276034574
420	0.2274661856
421	0.2274441249
422	0.2273946602
423	0.2273454993
424	0.2272552174
425	0.2271607517
426	0.2270786366
427	0.2269814683
428	0.2269615574
429	0.2269385477
430	0.2268974701
431	0.2268511671
432	0.2267910195
433	0.226702604
434	0.2266171237
435	0.226541696
436	0.2264936113
437	0.2264316742
438	0.2264081495
439	0.2259778651
440	0.2259454316
441	0.2258840794
442	0.2258175512
443	0.2257787449
444	0.2257077506
445	0.2256555867
446	0.2255984741
447	0.2255434118
448	0.2255057844
449	0.2254664396
450	0.2253942168
451	0.2253734152
452	0.2253239357
453	0.2252742373
454	0.2251734319
455	0.2250225065
456	0.2249429833
457	0.2248692678
458	0.2248218927
459	0.2247634001
460	0.2247190944
461	0.2246620938
462	0.2245684467
463	0.2243845198
464	0.2243217367
465	0.2242721918
466	0.2242101354
467	0.2241185816
468	0.2240572508
469	0.2240259545
470	0.2239302653
471	0.2238292357
472	0.2237669802
473	0.2237397155
474	0.2236659428
475	0.2236311344
476	0.2235464538
477	0.2235375892
478	0.2234656119
479	0.2230434465
480	0.2229927658
481	0.2228785224
482	0.2228292125
483	0.222774824
484	0.2227369096
485	0.2226960615
486	0.2226606885
487	0.2226287794
488	0.2225975934
489	0.2225810602
490	0.2225686249
491	0.2224543014
492	0.2223939201
493	0.2223091596
