iter	Passed	Remaining
403	6679	1487
404	6693	1470
405	6710	1454
406	6726	1437
407	6740	1420
408	6753	1403
409	6768	1386
410	6782	1369
411	6797	1352
412	6813	1336
413	6827	1319
414	6842	1302
415	6857	1285
416	6871	1268
417	6885	1251
418	6900	1235
419	6914	1218
420	6929	1201
421	6943	1184
422	6957	1167
423	6972	1151
424	6988	1134
425	7003	1117
426	7017	1101
427	7032	1084
428	7046	1067
429	7061	1050
430	7075	1034
431	7090	1017
432	7104	1000
433	7116	983
434	7130	967
435	7145	950
436	7159	933
437	7175	917
438	7189	900
439	7204	884
440	7221	867
441	7236	851
442	7255	835
443	7274	819
444	7293	803
445	7351	791
446	7411	779
447	7454	765
448	7479	749
449	7500	733
450	7526	717
451	7549	701
452	7576	685
453	7598	669
454	7628	653
455	7658	638
456	7679	621
457	7697	605
458	7717	588
459	7732	571
460	7749	554
461	7765	537
462	7780	520
463	7794	503
464	7809	487
465	7823	470
466	7838	453
467	7853	436
468	7867	419
469	7882	402
470	7896	385
471	7911	368
472	7926	351
473	7941	335
474	7955	318
475	7970	301
476	7984	284
477	7999	267
478	8013	250
479	8027	234
480	8042	217
481	8056	200
482	8071	183
483	8085	167
484	8100	150
485	8115	133
486	8130	116
487	8144	100
488	8158	83
489	8172	66
490	8186	50
491	8201	33
492	8216	16
493	8230	0
